,Ball 0,,,,,Ball 1,,,,,
,m:,10,,,,m:,10,,,,
,r:,1,,,,r:,1,,,,
,k:,900,,,,k:,900,,,,
,rot: ,true,,,,,,,,,
,u_k: ,0.5,,,,,,,,,
t,s_x,s_y,v_x,v_y,w,s_x,s_y,v_x,v_y,w,
0.355,0.596708,0,0.00672296,0,0,2.56829,0,2.99328,0,0,
0.356,0.596714,0,0.0054442,0,0,2.57129,0,2.99456,0,0,
0.357,0.596718,0,0.00429996,0,0,2.57428,0,2.9957,0,0,
0.358,0.596721,0,0.00329032,0,0,2.57728,0,2.99671,0,0,
0.359,0.596724,0,0.00241539,0,0,2.58028,0,2.99758,0,0,
0.36,0.596726,0,0.00167524,0,0,2.58327,0,2.99832,0,0,
0.361,0.596727,0,0.00106994,0,0,2.58627,0,2.99893,0,0,
0.362,0.596727,0,0.000599543,0,0,2.58927,0,2.9994,0,0,
0.363,0.596727,0,0.000264093,0,0,2.59227,0,2.99974,0,0,
0.364,0.596728,0,6.36196e-005,0,0,2.59527,0,2.99994,0,0,
0.365,0.596728,0,-1.85992e-006,0,0,2.59827,0,3,0,0,
0.366,0.596728,0,-1.85992e-006,0,0,2.60127,0,3,0,0,
0.367,0.596728,0,-1.85992e-006,0,0,2.60427,0,3,0,0,
