,Ball 0,,,,,,Ball 1,,,,,,
,m:,1.2,,,,,m:,2.31,,,,,
,r:,1,,,,,r:,1,,,,,
,k:,9800,,,,,k:,9800,,,,,
,rot: ,true,,,,,,,,,,,
,u_k: ,0.5,,,,,,,,,,,
t,s_x,s_y,v_x,v_y,theta,w,s_x,s_y,v_x,v_y,theta,w,
0.0147,0.127306,0.9265,8.66025,-5,0,0,-1.12862,-0.858265,11.4907,9.64181,0,0,
0.0148,0.128172,0.926,8.66025,-5,0,0,-1.12747,-0.857301,11.4907,9.64181,0,0,
0.0149,0.129038,0.9255,8.66025,-5,0,0,-1.12632,-0.856337,11.4907,9.64181,0,0,
0.015,0.129904,0.925,8.66025,-5,0,0,-1.12517,-0.855373,11.4907,9.64181,0,0,
0.0151,0.13077,0.9245,8.66025,-5,0,0,-1.12402,-0.854409,11.4907,9.64181,0,0,
0.0152,0.131636,0.924,8.66025,-5,0,0,-1.12287,-0.853444,11.4907,9.64181,0,0,
0.0153,0.132502,0.9235,8.66025,-5,0,0,-1.12172,-0.85248,11.4907,9.64181,0,0,
0.0154,0.133368,0.923,8.66025,-5,0,0,-1.12057,-0.851516,11.4907,9.64181,0,0,
0.0155,0.134234,0.9225,8.66025,-5,0,0,-1.11942,-0.850552,11.4907,9.64181,0,0,
0.0156,0.1351,0.922,8.66025,-5,0,0,-1.11828,-0.849588,11.4907,9.64181,0,0,
0.0157,0.135966,0.9215,8.66025,-5,0,0,-1.11713,-0.848624,11.4907,9.64181,0,0,
0.0158,0.136832,0.921,8.66025,-5,0,0,-1.11598,-0.847659,11.4907,9.64181,0,0,
0.0159,0.137698,0.9205,8.66025,-5,0,0,-1.11483,-0.846695,11.4907,9.64181,0,0,
0.016,0.138564,0.92,8.66025,-5,0,0,-1.11368,-0.845731,11.4907,9.64181,0,0,
0.0161,0.13943,0.9195,8.66025,-5,0,0,-1.11253,-0.844767,11.4907,9.64181,0,0,
0.0162,0.140296,0.919,8.66025,-5,0,0,-1.11138,-0.843803,11.4907,9.64181,0,0,
0.0163,0.141162,0.9185,8.66025,-5,0,0,-1.11023,-0.842838,11.4907,9.64181,0,0,
0.0164,0.142028,0.918,8.66025,-5,0,0,-1.10908,-0.841874,11.4907,9.64181,0,0,
0.0165,0.142894,0.9175,8.66025,-5,0,0,-1.10793,-0.84091,11.4907,9.64181,0,0,
0.0166,0.14376,0.917,8.66025,-5,0,0,-1.10678,-0.839946,11.4907,9.64181,0,0,
0.0167,0.144626,0.9165,8.66025,-5,0,0,-1.10564,-0.838982,11.4907,9.64181,0,0,
0.0168,0.145492,0.916,8.66025,-5,0,0,-1.10449,-0.838018,11.4907,9.64181,0,0,
0.0169,0.146358,0.9155,8.66025,-5,0,0,-1.10334,-0.837053,11.4907,9.64181,0,0,
0.017,0.147224,0.915,8.66025,-5,0,0,-1.10219,-0.836089,11.4907,9.64181,0,0,
0.0171,0.14809,0.9145,8.66025,-5,0,0,-1.10104,-0.835125,11.4907,9.64181,0,0,
0.0172,0.148956,0.914,8.66025,-5,0,0,-1.09989,-0.834161,11.4907,9.64181,0,0,
0.0173,0.149822,0.9135,8.66025,-5,0,0,-1.09874,-0.833197,11.4907,9.64181,0,0,
0.0174,0.150688,0.913,8.66025,-5,0,0,-1.09759,-0.832233,11.4907,9.64181,0,0,
0.0175,0.151554,0.9125,8.66025,-5,0,0,-1.09644,-0.831268,11.4907,9.64181,0,0,
0.0176,0.15242,0.912,8.66025,-5,0,0,-1.09529,-0.830304,11.4907,9.64181,0,0,
0.0177,0.153286,0.9115,8.66025,-5,0,0,-1.09415,-0.82934,11.4907,9.64181,0,0,
0.0178,0.154152,0.911,8.66025,-5,0,0,-1.093,-0.828376,11.4907,9.64181,0,0,
0.0179,0.155018,0.9105,8.66025,-5,0,0,-1.09185,-0.827412,11.4907,9.64181,0,0,
0.018,0.155885,0.91,8.66025,-5,0,0,-1.0907,-0.826447,11.4907,9.64181,0,0,
0.0181,0.156751,0.9095,8.66025,-5,0,0,-1.08955,-0.825483,11.4907,9.64181,0,0,
0.0182,0.157617,0.909,8.66025,-5,0,0,-1.0884,-0.824519,11.4907,9.64181,0,0,
0.0183,0.158483,0.9085,8.66025,-5,0,0,-1.08725,-0.823555,11.4907,9.64181,0,0,
0.0184,0.159349,0.908,8.66025,-5,0,0,-1.0861,-0.822591,11.4907,9.64181,0,0,
0.0185,0.160215,0.9075,8.66025,-5,0,0,-1.08495,-0.821627,11.4907,9.64181,0,0,
0.0186,0.161081,0.907,8.66025,-5,0,0,-1.0838,-0.820662,11.4907,9.64181,0,0,
