,Ball 0,,,,,,Ball 1,,,,,,
,m:,1.2,,,,,m:,2.31,,,,,
,r:,1,,,,,r:,1,,,,,
,k:,980,,,,,k:,980,,,,,
,rot: ,true,,,,,,,,,,,
,u_k: ,0.5,,,,,,,,,,,
t,s_x,s_y,v_x,v_y,theta,w,s_x,s_y,v_x,v_y,theta,w,
0.0217,0.37107,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0218,0.37278,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0219,0.37449,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.022,0.3762,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0221,0.37791,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0222,0.37962,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0223,0.38133,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0224,0.38304,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0225,0.38475,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0226,0.38646,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0227,0.38817,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0228,0.38988,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0229,0.39159,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.023,0.3933,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0231,0.39501,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0232,0.39672,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0233,0.39843,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0234,0.40014,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0235,0.40185,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0236,0.40356,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0237,0.40527,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0238,0.40698,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0239,0.40869,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.024,0.4104,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0241,0.41211,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0242,0.41382,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0243,0.41553,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0244,0.41724,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
